const,addresscat_3,addresscat_4,agecat_5,agecat_6,bfast_2,bfast_3,callid_1,callwait_1,carcatvalue_3,card2_2,card2tenurecat_5,card_2,cardten,cardtenurecat_5,carown_1,cars_1,cartype_0,creddebt,ebill_1,ed,edcat_2,edcat_3,gender_1,hourstv,inccat_3,internet_3,jobcat_2,jobsat_4,lncreddebt,lnothdebt,multline_1,news_1,othdebt,owndvd_1,ownipod_1,ownpda_1,polview_4,polview_6,region_5,spoused,vote_1,pred_totalSpend
1.0,0,0,0,0,0,1,0,1,0,0,0,0,60.0,0,1,0,1,1.2009089999999998,0,15,0,1,1,13,0,0,0,0,0.18307877003563325,0.8065164900417755,1,0,2.240091,1,1,0,0,1,0,-1,1,273.83029945543103
1.0,0,0,0,0,0,0,1,0,0,0,0,1,610.0,0,1,0,0,1.2220199999999999,1,17,0,0,0,18,0,0,1,0,0.20050522722758324,0.44978816674482835,1,1,1.5679800000000002,1,1,1,1,0,1,-1,0,255.16023888774546
1.0,0,0,0,1,0,1,0,0,0,0,1,1,1410.0,1,1,0,0,0.9286200000000001,0,14,1,0,1,21,0,0,1,1,-0.0740556658294137,0.9307378676210412,1,1,2.5363800000000003,1,0,0,0,0,0,13,0,214.10483593952256
1.0,0,0,0,0,0,0,0,0,0,0,0,1,685.0,0,1,0,0,0.03316008,1,16,0,1,0,26,0,0,1,0,-3.4016901129336294,0.11082555508888482,1,1,1.1172000000000002,1,1,0,0,0,0,18,0,216.6863016378887
1.0,0,0,0,0,0,1,1,1,0,0,0,0,360.0,0,0,1,0,0.21465900000000002,0,16,0,1,0,27,0,1,1,0,-1.5387045564693775,-1.73533565847623,0,0,0.176341,1,0,0,1,0,0,13,0,240.2513985529878
1.0,0,0,1,0,0,1,1,1,0,0,0,1,765.0,1,0,0,0,1.060584,0,17,0,0,0,21,0,0,0,0,0.05881969980661042,1.5956261679098511,0,0,4.9314160000000005,1,0,1,1,0,0,-1,0,260.61723163054137
1.0,0,1,1,0,1,0,0,0,0,1,0,0,0.0,0,1,0,1,0.501809,0,14,1,0,1,19,0,0,0,0,-0.68953570977821,-0.03958213845953938,0,0,0.9611909999999999,1,1,0,1,0,0,-1,0,212.20123655165034
1.0,0,1,0,0,0,1,1,1,1,0,1,0,630.0,1,1,1,1,5.950367999999999,0,16,0,1,1,13,0,0,0,0,1.7834530663844796,2.081643116434676,1,1,8.017631999999999,1,0,0,0,1,0,15,1,397.47005696343945
1.0,0,1,0,1,0,1,0,0,0,1,1,0,830.0,1,1,1,0,0.102336,0,12,1,0,1,25,0,0,0,0,-2.279493761770648,-1.1594329296950547,1,0,0.313664,1,0,0,0,0,0,-1,1,175.89191850072635
1.0,0,1,0,0,0,1,0,0,1,1,0,0,0.0,0,1,0,1,1.7702159999999998,0,11,0,0,0,21,0,0,0,1,0.5711015730385123,0.5150869314838412,0,0,1.6737840000000002,1,0,0,0,0,0,-1,1,328.4517332136179
1.0,1,0,1,0,0,1,0,1,0,0,1,0,930.0,1,1,0,1,1.3581119999999998,1,19,0,0,1,26,0,1,0,0,0.3060954999624963,0.987266489475726,1,0,2.683888,1,1,0,1,0,0,-1,1,277.1848286679589
1.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,1,0,0,0.130131,0,8,0,0,1,27,0,0,1,1,-2.0392136435999286,-2.1682409342213766,0,0,0.11429903999999999,1,0,0,1,0,0,9,0,190.25415334351024
1.0,1,0,0,0,0,1,1,1,0,0,0,0,30.0,0,1,1,0,1.250928,0,10,0,0,0,21,1,0,0,0,0.22388567587164707,-0.23184126701740562,0,0,0.793072,0,0,0,1,0,1,-1,1,275.7900178900707
1.0,0,0,1,0,0,0,1,0,0,0,1,0,1415.0,1,0,0,0,1.9249649999999996,0,18,0,0,0,21,1,0,0,0,0.6549077857562743,1.5454400451169095,1,1,4.690035,1,0,0,1,0,0,-1,1,328.54409940475034
1.0,1,0,0,1,0,1,0,0,0,0,1,0,1525.0,1,1,1,0,1.276156,1,20,0,0,1,24,0,0,0,1,0.24385243450310526,-0.9420086198797845,1,1,0.3898440000000001,1,0,0,0,0,0,17,1,243.7301161381392
1.0,0,0,0,1,1,0,1,1,0,0,1,0,4011.19999999999,1,1,0,1,0.934743,0,13,1,0,1,22,0,0,0,0,-0.06748365378627834,0.18586277925782166,1,1,1.2042569999999997,1,0,0,0,0,0,12,1,238.3748734945978
1.0,1,0,1,0,0,1,1,1,1,0,0,0,1315.0,1,1,0,0,1.803195,1,17,0,0,1,17,0,1,0,0,0.5895600914512608,2.670127125652831,0,0,14.441805,1,1,1,0,0,0,16,0,463.8725125255877
1.0,0,0,1,0,0,0,1,0,1,1,1,0,1325.0,1,1,0,1,13.111352,1,14,1,0,0,24,0,0,0,1,2.573478419842022,3.180802494885117,1,1,24.064260000000036,1,0,0,0,0,1,20,1,469.4142721584696
1.0,0,0,0,0,0,0,1,1,0,0,0,1,545.0,0,0,0,0,0.19099200000000002,0,11,0,0,1,16,0,0,0,0,-1.6555237366294544,-0.09101063610354213,0,0,0.913008,1,0,1,0,0,1,12,0,217.08868398706616
1.0,0,0,0,1,0,0,0,0,0,0,0,1,350.0,0,1,0,0,0.6922079999999999,1,16,0,1,1,22,0,0,0,0,-0.36786879049431287,0.9752356378751661,1,0,2.651792,1,1,0,0,0,0,-1,0,220.62984130416714
1.0,0,0,1,0,0,1,1,1,0,0,0,0,480.0,1,0,0,1,1.2337150000000001,0,16,0,1,0,25,0,0,0,0,0.2100299425688263,0.8334676625749683,0,0,2.301285,1,1,0,0,0,0,12,0,295.50014901615606
1.0,1,0,0,1,1,0,0,1,0,0,1,0,840.0,1,1,0,1,1.1952360000000002,0,17,0,0,0,21,0,1,1,0,0.17834365542473107,0.34271272421066723,1,0,1.408764,1,0,0,0,1,0,17,1,263.05761218031546
1.0,1,0,1,0,1,0,0,1,0,0,1,0,675.0,1,1,0,1,0.56502,0,14,1,0,0,13,0,1,0,0,-0.5708941502321102,0.700609269791075,0,0,2.01498,0,0,0,0,0,0,-1,0,241.54840730440557
1.0,1,0,0,0,0,0,1,1,0,0,0,0,380.0,0,0,0,0,3.319137,1,11,0,0,0,21,0,0,0,0,1.1997048093791662,0.21014989825020883,1,1,1.233863,1,1,1,1,0,0,-1,0,296.08181893296126
1.0,1,0,0,0,0,0,1,0,1,0,0,0,140.0,0,1,0,1,4.68611,0,12,1,0,0,31,0,0,0,0,1.5446028139884935,2.3029740173531614,0,0,10.003890000000002,1,1,0,0,0,0,14,1,450.5445772860613
1.0,0,0,0,1,0,1,1,1,0,0,1,1,595.0,1,1,1,0,1.1641679999999999,1,14,1,0,1,22,1,0,0,0,0.1520066687915957,2.2025251710021814,1,1,9.047832,1,1,1,0,0,0,15,0,259.99086737098764
1.0,0,0,0,0,0,1,0,0,0,0,0,0,145.0,0,0,0,1,1.297296,1,16,0,1,1,17,0,0,1,0,0.2602820982631665,0.4125757673432122,1,0,1.5107040000000003,1,1,0,0,1,1,17,0,273.7175122215951
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.3925800000000002,0,17,0,0,1,13,0,0,0,0,0.33115814179744424,0.9811117131161149,0,0,2.6674200000000003,1,1,0,0,1,0,-1,1,281.9223623983574
1.0,0,0,0,1,1,0,1,1,0,0,1,1,2865.0,1,1,0,1,0.255816,0,15,0,1,1,23,0,0,0,0,-1.3632968429271917,-0.1436579218568565,1,1,0.8661839999999998,1,0,0,0,0,0,-1,0,182.81307933314417
1.0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0,1,0,1,0.41385,0,19,0,0,0,15,0,0,0,1,-0.8822516896507323,1.4436548378770864,0,0,4.23615,1,1,0,0,0,1,-1,1,258.876225733915
1.0,0,0,1,0,0,0,0,0,0,0,1,1,1000.0,1,1,0,1,0.03316008,0,14,1,0,0,25,0,0,0,0,-3.4016901129336294,1.6426405532618187,0,1,5.1688,1,0,0,0,1,0,-1,0,231.125381786671
1.0,0,0,1,0,0,1,0,0,0,1,1,0,2090.0,1,1,0,1,1.2093120000000002,1,18,0,0,1,20,1,0,0,0,0.19005160285586523,1.018373561784063,1,1,2.768688,1,1,0,0,1,0,13,0,274.2304793194494
1.0,0,0,1,0,0,0,1,1,0,0,0,1,45.0,0,0,0,0,0.26292000000000004,0,8,0,0,1,29,0,0,1,0,-1.3359054755867614,-0.5497743739045656,0,0,0.5770799999999999,1,0,0,1,0,0,10,0,196.4927856651827
1.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,1,0.15055200000000002,0,11,0,0,0,30,0,0,1,0,-1.893446739519585,0.21788816593620455,0,0,1.243448,0,0,0,0,0,0,14,1,225.76456570363564
1.0,0,1,1,0,0,1,1,1,0,0,0,0,790.0,0,0,0,0,9.589833,1,20,0,0,0,10,0,1,1,0,2.2607034747708337,1.4745723730886375,1,0,4.369167000000001,1,1,1,0,1,0,17,1,356.55294766444644
1.0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,1,0.8889300000000001,1,12,1,0,0,29,0,1,1,1,-0.1177367867258816,1.04593909528929,1,0,2.84607,1,1,0,0,0,0,-1,1,291.3378130066027
1.0,0,1,0,0,0,1,0,1,1,0,1,0,1885.0,1,1,1,0,3.3033440000000005,1,20,0,0,0,22,0,1,0,1,1.1949352887301277,2.7386218236014477,1,1,15.465656000000001,1,1,0,0,0,0,19,1,462.4166589644047
1.0,0,0,0,1,1,0,1,1,0,1,0,0,640.0,1,1,1,1,0.03888,0,11,0,0,0,21,0,0,1,0,-3.247275299389899,-1.6038535341401998,0,1,0.20112,0,0,0,0,0,1,-1,0,152.81689992041228
1.0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,1,1,0,1.4372239999999998,1,21,0,0,1,22,1,0,0,0,0.3627134752550087,1.663694252662364,1,0,5.278776000000001,1,1,1,1,0,0,20,1,285.0494571238978
1.0,0,1,1,0,0,0,1,1,0,0,0,0,330.0,0,1,1,1,0.5934599999999999,0,13,1,0,1,13,1,0,0,0,-0.5217854640023328,1.1589356886512148,0,0,3.18654,1,1,0,1,0,0,-1,0,287.6681850842596
1.0,0,0,1,0,1,0,1,1,0,0,0,0,2060.0,1,1,0,1,1.0863,0,12,1,0,1,29,1,0,0,0,0.08277742645756819,0.38096747650776397,0,1,1.4636999999999998,1,0,0,1,0,0,11,0,302.07367503279784
1.0,0,0,0,0,0,0,0,0,0,1,0,0,1150.0,0,0,0,0,1.218,0,14,1,0,0,22,1,0,0,0,0.19721016928770527,1.3942625307690675,1,1,4.032,1,0,0,0,0,1,-1,1,300.10993066592147
1.0,0,0,0,1,1,0,0,0,0,0,0,1,295.0,0,1,0,1,1.6354240000000002,0,11,0,0,0,20,0,0,0,0,0.49190209794685164,0.10307630884265181,0,1,1.108576,1,0,0,1,0,1,15,1,235.32126682231385
1.0,0,1,0,0,0,1,1,1,0,0,0,0,345.0,0,1,0,1,2.0515770000000004,0,11,0,0,1,28,0,0,1,0,0.7186087657078036,0.810673738884385,0,0,2.2494229999999997,1,0,0,0,0,0,-1,0,267.4826158906694
1.0,0,1,0,0,0,1,0,0,1,0,0,0,290.0,0,1,1,0,0.1023,1,19,0,0,0,19,0,0,1,1,-2.279845606024556,0.43676995793657675,0,0,1.5476999999999999,1,1,0,0,0,1,20,1,353.9460144714495
1.0,1,0,0,1,1,0,0,1,0,0,0,0,0.0,0,1,1,1,0.394548,0,10,0,0,0,12,0,0,1,0,-0.9300144730939653,-0.6359127696078504,0,0,0.529452,1,0,0,0,1,1,10,0,241.90757765434347
1.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,2.116422,0,19,0,0,1,18,0,0,1,0,0.7497269270042068,0.7137230382482048,0,0,2.0415780000000003,1,0,0,1,0,0,20,1,279.14663053680704
1.0,0,1,0,0,0,0,0,0,0,1,1,0,1730.0,1,1,1,0,0.98736,0,10,0,0,0,13,0,0,0,0,-0.01272056440938031,1.6087656865408946,1,0,4.99664,1,0,0,0,0,1,9,0,264.197940867115
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0.77004,0,16,0,1,0,17,0,0,0,0,-0.26131281743171286,0.7333097577123493,0,0,2.08196,1,0,0,0,1,1,-1,1,310.07248889584525
1.0,0,1,1,0,1,0,1,1,1,1,1,0,540.0,1,1,0,1,14.280358400000008,1,21,0,0,0,13,0,1,0,0,2.65891009010391,2.419391296149317,1,1,11.239016000000001,1,1,1,0,1,0,-1,1,418.94374119243395
1.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,1,0.193452,1,13,1,0,1,18,0,0,0,1,-1.6427258593002751,-0.17966748196854634,0,0,0.8355480000000002,1,1,0,1,0,0,-1,1,203.60699982028973
1.0,1,0,1,0,0,1,0,1,0,0,0,0,1270.0,1,1,1,0,0.08436,0,19,0,0,1,16,0,0,0,0,-2.472661923371563,0.05414721807044634,0,0,1.05564,1,1,0,1,0,0,-1,1,245.0178099837591
1.0,1,0,0,0,0,0,0,0,0,0,1,0,515.0,1,1,1,0,0.254932,0,11,0,0,0,26,0,0,0,0,-1.3667584360522553,-1.9946005182044337,1,1,0.13606800000000002,1,0,0,1,0,0,9,0,240.5958877462569
1.0,0,1,0,0,0,1,1,1,0,0,0,0,1120.0,0,1,1,0,4.820805999999999,1,14,1,0,1,22,0,0,0,0,1.5729411339998294,1.5169264924451582,1,0,4.558194,1,1,1,1,0,0,13,0,305.89366730281756
1.0,0,1,1,0,1,0,1,0,1,0,0,0,0.0,0,1,0,0,1.12176,0,15,0,1,1,12,0,0,0,0,0.11489888047652054,3.180802494885117,0,0,24.064260000000036,1,1,0,0,0,0,-1,0,425.5495492141132
1.0,1,0,1,0,1,0,0,1,0,0,0,0,330.0,0,0,0,0,0.537602,1,20,0,0,1,18,1,0,0,1,-0.6206367695420221,-0.11833543820257982,0,0,0.8883979999999999,1,1,0,0,0,0,18,1,282.7445152712006
1.0,0,1,1,0,0,1,1,1,1,0,1,0,2120.0,1,1,0,1,4.47258,1,19,0,0,1,14,0,0,0,1,1.4979654233285236,1.6462364637511544,1,1,5.18742,1,1,1,1,0,1,15,1,412.57467842728374
1.0,0,0,0,0,0,1,1,1,0,1,0,0,790.0,0,0,0,0,1.0792950000000001,1,17,0,0,1,22,0,0,1,1,0.07630805020617136,-0.08806101857976513,1,1,0.915705,1,1,1,1,0,0,16,1,220.57561189239487
1.0,0,0,0,1,1,0,1,1,0,1,1,0,1585.0,1,1,0,1,0.7429799999999999,0,11,0,0,1,21,0,0,0,0,-0.29708615252707504,1.260453321779374,0,1,3.52702,1,0,0,0,1,0,16,0,216.4081016963656
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.27976,1,16,0,1,0,18,0,0,0,0,-1.2738231862270166,-0.2741211060790772,0,0,0.76024,1,1,0,0,0,1,13,1,282.50506663371715
